ID,бизнес,культура,медиа,наука_и_техника,общество_и_путешествия,политика,происшествия,силовые_структуры,спорт,экономика_и_финансы
0,13.0,127.0,58.0,64.0,738.0,287.0,3.0,27.0,77.0,228.0
1,36.0,271.0,103.0,108.0,1275.0,594.0,1.0,42.0,126.0,471.0
2,33.0,376.0,161.0,138.0,1940.0,830.0,2.0,72.0,233.0,875.0
3,63.0,431.0,149.0,155.0,1985.0,784.0,3.0,82.0,195.0,893.0
4,38.0,533.0,130.0,147.0,1825.0,656.0,2.0,95.0,186.0,730.0
5,49.0,624.0,165.0,117.0,1871.0,711.0,2.0,105.0,199.0,731.0
6,37.0,545.0,163.0,124.0,2051.0,766.0,5.0,76.0,248.0,709.0
7,54.0,622.0,172.0,122.0,2032.0,724.0,2.0,86.0,207.0,684.0
8,39.0,482.0,159.0,138.0,1947.0,843.0,1.0,142.0,248.0,623.0
9,16.0,283.0,134.0,79.0,1363.0,638.0,2.0,63.0,194.0,366.0
10,8.0,192.0,85.0,48.0,672.0,379.0,0.0,43.0,97.0,226.0
11,8.0,131.0,45.0,58.0,544.0,280.0,1.0,22.0,80.0,186.0
12,9.0,161.0,59.0,54.0,660.0,256.0,1.0,35.0,88.0,200.0
13,31.0,308.0,104.0,123.0,1418.0,515.0,4.0,54.0,129.0,450.0
14,25.0,515.0,150.0,151.0,2015.0,739.0,5.0,79.0,196.0,788.0
15,37.0,507.0,140.0,158.0,2099.0,708.0,1.0,84.0,233.0,754.0
16,31.0,540.0,124.0,159.0,1818.0,635.0,4.0,76.0,196.0,697.0
17,58.0,616.0,127.0,167.0,1855.0,755.0,2.0,67.0,171.0,749.0
18,28.0,565.0,157.0,156.0,2004.0,776.0,0.0,76.0,237.0,745.0
19,28.0,571.0,162.0,153.0,1889.0,865.0,2.0,82.0,229.0,727.0
20,30.0,526.0,162.0,151.0,1912.0,927.0,5.0,86.0,266.0,583.0
21,17.0,326.0,117.0,108.0,1375.0,694.0,0.0,56.0,249.0,363.0
22,4.0,175.0,82.0,55.0,722.0,377.0,0.0,25.0,123.0,217.0
23,12.0,130.0,47.0,40.0,588.0,290.0,1.0,26.0,99.0,193.0
24,13.0,118.0,53.0,49.0,740.0,267.0,3.0,27.0,64.0,191.0
25,25.0,265.0,109.0,104.0,1296.0,525.0,0.0,64.0,127.0,464.0
26,33.0,336.0,166.0,116.0,2047.0,795.0,5.0,94.0,235.0,888.0
27,45.0,457.0,126.0,142.0,2155.0,754.0,2.0,93.0,216.0,765.0
28,38.0,529.0,140.0,141.0,1788.0,668.0,2.0,77.0,211.0,676.0
29,38.0,536.0,132.0,147.0,1899.0,743.0,1.0,90.0,205.0,788.0
30,45.0,500.0,140.0,146.0,2121.0,727.0,3.0,91.0,193.0,817.0
31,56.0,586.0,175.0,108.0,1979.0,764.0,4.0,68.0,206.0,778.0
32,31.0,445.0,169.0,140.0,1914.0,873.0,2.0,74.0,296.0,616.0
33,11.0,275.0,121.0,75.0,1397.0,545.0,3.0,54.0,265.0,334.0
34,9.0,188.0,61.0,59.0,758.0,362.0,1.0,41.0,134.0,218.0
35,11.0,136.0,44.0,52.0,537.0,216.0,1.0,27.0,93.0,143.0
36,16.0,120.0,38.0,35.0,620.0,199.0,6.0,34.0,64.0,192.0
