ID,number
0,1701
1,3242
2,7330
3,12437
4,14283
5,12905
6,11391
7,8333
8,5300
9,3414
10,1869
11,1409
12,1630
13,3339
14,7416
15,12348
16,13948
17,12269
18,10752
19,8154
20,5442
21,3643
22,1934
23,1507
24,1620
25,3160
26,7076
27,11908
28,14333
29,11807
30,10462
31,8336
32,5384
33,3446
34,2005
35,1344
36,1411
37,3110
38,6861
39,11392
40,13460
41,11287
42,9766
43,7257
44,4589
45,2911
46,1758
47,941
48,868
49,1425
50,2899
51,4077
52,4478
53,5416
54,4800
55,3161
56,2887
57,2151
58,1332
59,746
60,615
61,1097
62,2359
63,4775
64,5716
65,3939
66,3553
67,3136
68,2730
69,2268
70,1475
71,1162
72,1498
73,2960
74,6348
75,9944
76,13093
77,11555
78,9894
79,7608
80,4655
81,2978
82,1668
83,1040
84,1244
85,2656
86,6670
87,11444
88,13249
89,11019
90,10489
91,8079
92,5289
93,3337
94,1853
95,1283
96,1553
97,3114
98,6903
99,10741
100,12231
101,11795
102,9700
103,7697
104,5191
105,3216
106,1878
107,1230
108,1561
109,3194
110,6744
111,9783
112,10970
113,10733
114,11838
115,9082
116,4838
117,3131
118,1854
119,1273
120,1578
121,2802
122,6021
123,9996
124,12925
125,10125
126,9538
127,7564
128,4741
129,2859
130,1561
131,833
132,601
133,1108
134,2500
135,4964
136,6688
137,4383
138,3809
139,3130
140,2897
141,2126
142,1310
143,781
144,686
145,1157
146,2363
147,4163
148,6181
149,4363
150,3438
151,3082
152,2647
153,2209
154,1660
155,1032
156,1323
157,2854
158,6336
159,10849
160,13721
161,10780
162,9830
163,7593
164,4715
165,3056
166,1808
167,1221
168,1413
169,2988
170,6618
171,10698
172,12397
173,10300
174,8874
175,6880
176,4699
177,3033
178,2034
179,1200
180,1507
181,2950
182,6842
183,11359
184,13321
185,11111
186,9677
187,7588
188,5108
189,3166
190,1811
191,1247
192,1474
193,3015
194,6998
195,11470
196,13511
197,10974
198,9946
199,8070
200,5429
201,3464
202,1922
203,1219
204,1441
205,2981
206,6908
207,11710
208,13567
209,10788
210,9828
211,7823
212,4642
213,3115
214,1719
215,897
216,880
217,1481
218,3200
219,5424
220,6636
221,4188
222,3814
223,3321
224,2929
225,2338
226,1361
227,849
228,769
229,1337
230,2736
231,4936
232,5786
233,3794
234,3501
235,3241
236,2858
237,2384
238,1440
239,1151
240,1485
241,3056
242,6804
243,10843
244,13100
245,11585
246,10617
247,7389
248,5015
249,3237
250,1835
251,1252
252,1735
253,3317
254,6987
255,11443
256,14268
257,11304
258,10035
259,7703
260,4945
261,3425
262,1873
263,1374
264,1586
265,3181
266,7329
267,11001
268,11911
269,11525
270,12436
271,9588
272,5430
273,3506
274,2144
275,1289
276,1553
277,3144
278,6926
279,10912
280,12042
281,11337
282,11410
283,9606
284,5304
285,3274
286,1997
287,1308
288,1498
289,2973
290,6932
291,11580
292,13944
293,11078
294,9659
295,7513
296,4564
297,3186
298,1830
299,950
300,873
301,1419
302,3043
303,5317
304,5944
305,4247
306,3704
307,3473
308,2859
309,2270
310,1396
311,801
312,708
313,1326
314,2704
315,5009
316,6344
317,4096
318,3411
319,3268
320,2965
321,2344
322,1654
323,1052
324,1394
325,2864
326,6746
327,10455
328,11266
329,10173
330,9397
331,6707
332,6696
333,4343
334,2812
335,1513
336,1279
337,2258
338,5145
339,9415
340,11998
341,11519
342,10946
343,11534
344,7922
345,4318
346,2727
347,1403
348,1191
349,1910
350,4301
351,8651
352,11546
353,11834
354,11096
355,9603
356,8280
357,5681
358,2524
359,1347
360,1214
361,2273
362,5040
363,8965
364,13342
365,12108
366,10520
367,6910
368,4415
369,3551
370,2531
