,lvl1_медиа,lvl1_наука_и_техника,lvl1_общество_и_путешествия,lvl1_политика,lvl1_происшествия,lvl1_экономика_и_финансы,,lvl1_культура,lvl1_бизнес,lvl1_спорт,lvl1_силовые_структуры
0,58,64,738,287,3.0,228,79,127,13.0,77,27
1,103,108,1275,594,1.0,471,215,271,36.0,126,42
2,224,212,2854,1231,2.0,1283,451,573,50.0,341,109
3,331,371,4708,1824,7.0,2021,1215,1135,125.0,524,176
4,365,425,5129,1831,6.0,2035,1934,1605,156.0,547,250
5,386,301,5133,1812,7.0,1959,840,1526,121.0,541,279
6,328,269,4764,1723,6.0,1616,569,1263,102.0,534,217
7,257,201,3389,1261,2.0,1095,508,1012,88.0,378,142
8,166,149,2081,882,2.0,645,395,524,42.0,264,150
9,134,79,1363,638,2.0,366,276,283,16.0,194,63
10,85,48,672,379,0.0,226,119,192,8.0,97,43
11,45,58,544,280,1.0,186,54,131,8.0,80,22
12,59,54,660,256,1.0,200,107,161,9.0,88,35
13,104,123,1418,515,4.0,450,203,308,31.0,129,54
14,211,216,3021,1090,6.0,1187,460,772,40.0,293,120
15,306,371,4915,1688,5.0,1813,1120,1237,95.0,566,232
16,354,427,5159,1830,6.0,1999,1729,1527,111.0,576,230
17,365,375,4729,1882,4.0,1847,847,1435,110.0,473,202
18,313,307,4213,1800,0.0,1609,558,1210,80.0,502,160
19,268,252,3085,1440,4.0,1130,452,935,46.0,396,146
20,180,157,2106,1006,5.0,612,395,563,30.0,292,96
21,117,108,1375,694,0.0,363,338,326,17.0,249,56
22,82,55,722,377,0.0,217,154,175,4.0,123,25
23,47,40,588,290,1.0,193,81,130,12.0,99,26
24,53,49,740,267,3.0,191,95,118,13.0,64,27
25,109,104,1296,525,0.0,464,181,265,25.0,127,64
26,211,181,2931,1114,6.0,1226,381,533,42.0,318,133
27,291,320,4695,1719,5.0,1743,1154,1125,111.0,542,203
28,364,452,5116,1933,7.0,2009,2109,1412,108.0,602,221
29,319,335,4733,1687,4.0,1920,754,1272,115.0,496,172
30,275,316,4300,1566,3.0,1657,487,1143,98.0,427,190
31,298,206,3275,1291,4.0,1259,481,947,84.0,380,111
32,176,147,2060,937,3.0,657,479,488,34.0,323,80
33,121,75,1397,545,3.0,334,366,275,11.0,265,54
34,61,59,758,362,1.0,218,174,188,9.0,134,41
35,44,52,537,216,1.0,143,84,136,11.0,93,27
36,38,35,620,199,6.0,192,87,120,16.0,64,34
37,103,84,1385,412,2.0,441,177,286,43.0,121,56
38,191,189,2851,1021,2.0,1128,421,600,61.0,274,123
39,346,294,4622,1588,7.0,1709,1012,1082,100.0,453,179
